Date of transaction,Entity name,Number of units,Unit type
10/03/2026,Tasman Environmental Markets Australia Pty Ltd,6,KACCU
10/03/2026,carbonhalo Pty Ltd,3,KACCU
10/03/2026,Tasman Environmental Markets Australia Pty Ltd,22,CER
10/03/2026,Tasman Environmental Markets Australia Pty Ltd,94,CER
06/03/2026,Tasman Environmental Markets Australia Pty Ltd,"2,929",KACCU
06/03/2026,"Climate Impact Partners, LLC","36,416",CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,3,KACCU
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,471,KACCU
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,5,KACCU
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,84,CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,23,CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,62,CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,81,CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,41,CER
05/03/2026,Tasman Environmental Markets Australia Pty Ltd,73,CER
05/03/2026,"Climate Impact Partners, LLC","2,400",CER
05/03/2026,"Climate Impact Partners, LLC","40,226",CER
05/03/2026,"Climate Impact Partners, LLC","2,350",CER
05/03/2026,"Climate Impact Partners, LLC","18,600",CER
05/03/2026,"Climate Impact Partners, LLC","7,113",CER
05/03/2026,"Climate Impact Partners, LLC","13,326",CER
04/03/2026,MITSUI & CO. (AUSTRALIA) LTD.,139,KACCU
03/03/2026,Corporate Carbon Advisory Pty Ltd,149,KACCU
03/03/2026,Kurrajong Partners Pty Ltd,"3,660",KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,11,KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,2,KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,61,KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,68,KACCU
03/03/2026,LGI Limited,693,KACCU
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,33,CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,94,CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,194,CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,33,CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,22,CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,"1,080",CER
03/03/2026,Tasman Environmental Markets Australia Pty Ltd,496,CER
27/02/2026,CLIMA SOLUTIONS PTY LTD,27,KACCU
27/02/2026,carbonhalo Pty Ltd,22,KACCU
27/02/2026,"Climate Impact Partners, LLC",479,CER
26/02/2026,ZEPHYR ENVIRONMENTAL PTY LTD,2,KACCU
26/02/2026,Tasman Environmental Markets Australia Pty Ltd,"2,758",KACCU
26/02/2026,Tasman Environmental Markets Australia Pty Ltd,"1,840",KACCU
25/02/2026,Tasman Environmental Markets Australia Pty Ltd,65,KACCU
25/02/2026,Tasman Environmental Markets Australia Pty Ltd,200,KACCU
25/02/2026,AUSTRALIAN WILDLIFE CONSERVANCY,230,KACCU
25/02/2026,Tasman Environmental Markets Australia Pty Ltd,888,KACCU
25/02/2026,Tasman Environmental Markets Australia Pty Ltd,114,CER
25/02/2026,"Climate Impact Partners, LLC","1,688",CER
25/02/2026,Tasman Environmental Markets Australia Pty Ltd,"16,881",CER
23/02/2026,CARBON NEUTRAL PTY LTD,100,KACCU
20/02/2026,Green Energy Trading Pty Ltd,1,KACCU
20/02/2026,Global Environmental Markets Pty Ltd,100,CER
20/02/2026,Global Environmental Markets Pty Ltd,100,CER
20/02/2026,Tasman Environmental Markets Australia Pty Ltd,57,CER
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,816,KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,25,KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,6,KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,209,KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,32,KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"3,292",KACCU
19/02/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,165,KACCU
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,200,KACCU
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,125,KACCU
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,2,KACCU
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,54,CER
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,"2,413",CER
19/02/2026,Tasman Environmental Markets Australia Pty Ltd,38,CER
19/02/2026,"Climate Impact Partners, LLC","3,384",CER
19/02/2026,"Climate Impact Partners, LLC","3,383",CER
19/02/2026,"Climate Impact Partners, LLC","3,384",CER
19/02/2026,"Climate Impact Partners, LLC","3,384",CER
19/02/2026,"Climate Impact Partners, LLC","3,384",CER
18/02/2026,CLIMA SOLUTIONS PTY LTD,210,KACCU
18/02/2026,GOLDEN SPUR RESOURCES PTY LTD,"1,111",KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,176,KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,119,KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,597,CER
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,405,CER
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,13,CER
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,20,CER
17/02/2026,Tasman Environmental Markets Australia Pty Ltd,14,CER
16/02/2026,CLIMA SOLUTIONS PTY LTD,50,KACCU
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,3,KACCU
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,9,KACCU
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,2,KACCU
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,14,KACCU
16/02/2026,NettZero Pty Ltd,109,KACCU
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,62,CER
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,139,CER
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,29,CER
16/02/2026,Tasman Environmental Markets Australia Pty Ltd,230,CER
14/02/2026,"Climate Impact Partners, LLC","8,014",CER
13/02/2026,Tasman Environmental Markets Australia Pty Ltd,470,KACCU
13/02/2026,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
13/02/2026,CLIMA SOLUTIONS PTY LTD,41,KACCU
09/02/2026,EKI Energy Services Limited,30,CER
06/02/2026,Tasman Environmental Markets Australia Pty Ltd,3,KACCU
06/02/2026,Tasman Environmental Markets Australia Pty Ltd,60,KACCU
06/02/2026,Tasman Environmental Markets Australia Pty Ltd,25,KACCU
06/02/2026,EKI Energy Services Limited,577,CER
06/02/2026,EKI Energy Services Limited,"3,000",CER
06/02/2026,EKI Energy Services Limited,"6,242",CER
06/02/2026,EKI Energy Services Limited,"7,531",CER
06/02/2026,EKI Energy Services Limited,"18,380",CER
06/02/2026,Tasman Environmental Markets Australia Pty Ltd,46,CER
06/02/2026,Tasman Environmental Markets Australia Pty Ltd,14,CER
06/02/2026,"Climate Impact Partners, LLC",299,CER
06/02/2026,"Climate Impact Partners, LLC",563,CER
06/02/2026,"Climate Impact Partners, LLC","1,899",CER
06/02/2026,"Climate Impact Partners, LLC","3,072",CER
06/02/2026,"Climate Impact Partners, LLC",241,CER
05/02/2026,Tasman Environmental Markets Australia Pty Ltd,34,KACCU
05/02/2026,Tasman Environmental Markets Australia Pty Ltd,52,KACCU
04/02/2026,Western Yalanji Aboriginal Corporation RNTBC,485,KACCU
04/02/2026,Aboriginal Carbon Fund Limited,485,KACCU
03/02/2026,Tasman Environmental Markets Australia Pty Ltd,58,KACCU
03/02/2026,Tasman Environmental Markets Australia Pty Ltd,199,KACCU
03/02/2026,Tasman Environmental Markets Australia Pty Ltd,"1,100",CER
03/02/2026,Tasman Environmental Markets Australia Pty Ltd,"3,789",CER
02/02/2026,CARBON NEUTRAL PTY LTD,45,KACCU
02/02/2026,Tasman Environmental Markets Australia Pty Ltd,11,KACCU
02/02/2026,Carbon Neutral Pty Ltd,45,CER
02/02/2026,Tasman Environmental Markets Australia Pty Ltd,46,CER
02/02/2026,Tasman Environmental Markets Australia Pty Ltd,188,CER
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,"7,193",KACCU
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,2,KACCU
