Date of transaction,Entity name,Number of units,Unit type
21/05/2021,Aboriginal Carbon Fund Limited,98,KACCU
21/05/2021,Tasman Environmental Markets Pty Ltd,"55,252",KACCU
20/05/2021,EKI Energy Services Limited,"61,519",CER
20/05/2021,CARBON NEUTRAL PTY LTD,164,CER
20/05/2021,CARBON NEUTRAL PTY LTD,50,CER
20/05/2021,Aboriginal Carbon Fund Limited,300,KACCU
20/05/2021,South Pole Australia Financial Services Pty Ltd,800,KACCU
20/05/2021,Tasman Environmental Markets Pty Ltd,"2,000",CER
20/05/2021,Tasman Environmental Markets Pty Ltd,307,KACCU
19/05/2021,EKI Energy Services Limited,1,CER
19/05/2021,Aboriginal Carbon Fund Limited,528,KACCU
19/05/2021,Aboriginal Carbon Fund Limited,528,KACCU
18/05/2021,"Natural Capital Partners Americas, LLC","1,500",CER
18/05/2021,Aboriginal Carbon Fund Limited,"1,000",KACCU
18/05/2021,"Natural Capital Partners Americas, LLC","1,500",CER
18/05/2021,Aboriginal Carbon Fund Limited,"1,000",KACCU
17/05/2021,Tasman Environmental Markets Pty Ltd,74,KACCU
14/05/2021,Aboriginal Carbon Fund Limited,100,KACCU
14/05/2021,Carbon Financial Services Pty. Ltd.,"5,080",KACCU
14/05/2021,Carbon Financial Services Pty. Ltd.,"9,524",KACCU
13/05/2021,EKI Energy Services Limited,81,CER
13/05/2021,EKI Energy Services Limited,"97,594",CER
13/05/2021,CO2 Australia Limited,"2,500",KACCU
13/05/2021,Tasman Environmental Markets Pty Ltd,387,KACCU
13/05/2021,Tasman Environmental Markets Pty Ltd,4,KACCU
13/05/2021,"Natural Capital Partners Americas, LLC","14,600",CER
13/05/2021,"Natural Capital Partners Americas, LLC","12,450",CER
12/05/2021,CARBON NEUTRAL PTY LTD,35,CER
12/05/2021,CARBON NEUTRAL PTY LTD,283,CER
11/05/2021,Tasman Environmental Markets Pty Ltd,"1,702",CER
07/05/2021,Cooper Energy Limited,253,KACCU
06/05/2021,Enviro-Mark Solutions Limited,113,CER
05/05/2021,CARBON NEUTRAL PTY LTD,88,CER
05/05/2021,CARBON NEUTRAL PTY LTD,27,CER
05/05/2021,CARBON NEUTRAL PTY LTD,267,CER
05/05/2021,CARBON NEUTRAL PTY LTD,81,CER
05/05/2021,CARBON NEUTRAL PTY LTD,37,CER
05/05/2021,CARBON NEUTRAL PTY LTD,35,CER
05/05/2021,Boral Limited,"1,000",KACCU
05/05/2021,Cooper Energy Limited,213,KACCU
04/05/2021,CARBON NEUTRAL PTY LTD,27,CER
04/05/2021,CARBON NEUTRAL PTY LTD,229,CER
04/05/2021,CARBON NEUTRAL PTY LTD,35,CER
04/05/2021,CARBON NEUTRAL PTY LTD,54,CER
04/05/2021,CARBON NEUTRAL PTY LTD,50,CER
04/05/2021,Tasman Environmental Markets Pty Ltd,486,CER
03/05/2021,CARBON NEUTRAL PTY LTD,300,CER
03/05/2021,Aboriginal Carbon Fund Limited,16,KACCU
30/04/2021,CARBON NEUTRAL PTY LTD,35,CER
30/04/2021,CARBON NEUTRAL PTY LTD,27,CER
30/04/2021,CARBON NEUTRAL PTY LTD,27,CER
30/04/2021,CARBON NEUTRAL PTY LTD,35,CER
30/04/2021,CARBON NEUTRAL PTY LTD,155,CER
30/04/2021,Carbon Financial Services Pty. Ltd.,652,KACCU
30/04/2021,CARBON NEUTRAL PTY LTD,435,CER
29/04/2021,Tasman Environmental Markets Pty Ltd,"15,194",CER
29/04/2021,Aboriginal Carbon Fund Limited,196,KACCU
29/04/2021,Aboriginal Carbon Fund Limited,25,KACCU
29/04/2021,Aboriginal Carbon Fund Limited,32,KACCU
29/04/2021,Aboriginal Carbon Fund Limited,20,KACCU
27/04/2021,EKI Energy Services Limited,"9,392",CER
27/04/2021,EKI Energy Services Limited,"34,986",CER
27/04/2021,Virgin Australia Regional Airlines Pty Ltd,273,KACCU
27/04/2021,South Pole Australia Financial Services Pty Ltd,400,KACCU
27/04/2021,South Pole Australia Financial Services Pty Ltd,90,KACCU
27/04/2021,South Pole Australia Financial Services Pty Ltd,70,KACCU
24/04/2021,"Natural Capital Partners Americas, LLC",50,CER
24/04/2021,Carbon Financial Services Pty. Ltd.,"3,000",KACCU
24/04/2021,Carbon Financial Services Pty. Ltd.,"2,345",CER
24/04/2021,Carbon Financial Services Pty. Ltd.,"676,250",CER
24/04/2021,Carbon Financial Services Pty. Ltd.,"94,229",CER
23/04/2021,EKI Energy Services Limited,"6,243",CER
23/04/2021,Aboriginal Carbon Fund Limited,300,KACCU
22/04/2021,Tasman Environmental Markets Pty Ltd,196,CER
20/04/2021,CARBON NEUTRAL PTY LTD,47,CER
20/04/2021,CARBON NEUTRAL PTY LTD,48,CER
20/04/2021,CARBON NEUTRAL PTY LTD,38,CER
20/04/2021,CARBON NEUTRAL PTY LTD,48,CER
20/04/2021,CARBON NEUTRAL PTY LTD,591,CER
20/04/2021,Tasman Environmental Markets Pty Ltd,148,KACCU
16/04/2021,The Sigma Global Company Pty Limited,"1,000",KACCU
15/04/2021,Tasman Environmental Markets Pty Ltd,280,KACCU
15/04/2021,Tasman Environmental Markets Pty Ltd,550,KACCU
14/04/2021,Enviro-Mark Solutions Limited,187,CER
14/04/2021,Enviro-Mark Solutions Limited,21,CER
14/04/2021,South Pole Australia Financial Services Pty Ltd,234,KACCU
13/04/2021,CARBON NEUTRAL PTY LTD,48,CER
13/04/2021,CARBON NEUTRAL PTY LTD,27,CER
13/04/2021,CARBON NEUTRAL PTY LTD,27,CER
13/04/2021,CARBON NEUTRAL PTY LTD,110,CER
13/04/2021,CARBON NEUTRAL PTY LTD,223,CER
13/04/2021,Tasman Environmental Markets Pty Ltd,54,KACCU
12/04/2021,Enviro-Mark Solutions Limited,741,CER
12/04/2021,Enviro-Mark Solutions Limited,102,CER
12/04/2021,Tasman Environmental Markets Pty Ltd,"2,046",CER
12/04/2021,Tasman Environmental Markets Pty Ltd,477,CER
12/04/2021,Tasman Environmental Markets Pty Ltd,53,KACCU
12/04/2021,Tasman Environmental Markets Pty Ltd,372,CER
09/04/2021,Aboriginal Carbon Fund Limited,179,KACCU
08/04/2021,AGL HP1 Pty Limited,722,KACCU
08/04/2021,AGL HP1 Pty Limited,137,KACCU
08/04/2021,AGL HP1 Pty Limited,714,KACCU
08/04/2021,AGL HP1 Pty Limited,152,KACCU
08/04/2021,AGL HP1 Pty Limited,30,KACCU
08/04/2021,AGL HP1 Pty Limited,"2,867",KACCU
07/04/2021,Carbon Financial Services Pty. Ltd.,158,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,122,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,128,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,204,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,130,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,157,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,121,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,587,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,67,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,521,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,303,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,292,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,905,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,236,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,289,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,199,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,819,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,303,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,310,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,208,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,454,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,111,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,198,KACCU
06/04/2021,Climate Friendly Financial Solutions Pty Limited,336,KACCU
02/04/2021,Perenia Pty Ltd,"47,939",CER
02/04/2021,Perenia Pty Ltd,"46,599",CER
02/04/2021,Perenia Pty Ltd,160,CER
02/04/2021,Perenia Pty Ltd,292,CER
01/04/2021,"Natural Capital Partners Americas, LLC","203,000",CER
31/03/2021,Tasman Environmental Markets Pty Ltd,"30,316",CER
31/03/2021,Tasman Environmental Markets Pty Ltd,"4,331",KACCU
31/03/2021,Tasman Environmental Markets Pty Ltd,"4,331",KACCU
31/03/2021,Carbon Financial Services Pty. Ltd.,"6,400",KACCU
30/03/2021,WeAct Pty Ltd,"123,529",CER
30/03/2021,Tasman Environmental Markets Pty Ltd,"1,296",CER
30/03/2021,Tasman Environmental Markets Pty Ltd,576,KACCU
30/03/2021,Tasman Environmental Markets Pty Ltd,"1,151",CER
29/03/2021,CARBON NEUTRAL PTY LTD,"2,500",CER
29/03/2021,CARBON NEUTRAL PTY LTD,36,CER
29/03/2021,CARBON NEUTRAL PTY LTD,100,CER
29/03/2021,CARBON NEUTRAL PTY LTD,32,CER
29/03/2021,CARBON NEUTRAL PTY LTD,54,CER
26/03/2021,Aboriginal Carbon Fund Limited,200,KACCU
25/03/2021,Tasman Environmental Markets Pty Ltd,230,KACCU
25/03/2021,Terra Carbon Pty Ltd,850,KACCU
18/03/2021,CARBON NEUTRAL PTY LTD,"23,900",CER
18/03/2021,South Pole Australia Financial Services Pty Ltd,75,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,14,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,16,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,45,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,35,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,148,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,250,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,22,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,6,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,35,KACCU
17/03/2021,CARBON NEUTRAL PTY LTD,59,KACCU
16/03/2021,Aboriginal Carbon Fund Limited,121,CER
15/03/2021,Enviro-Mark Solutions Limited,212,KACCU
15/03/2021,CARBON NEUTRAL PTY LTD,103,KACCU
12/03/2021,Aboriginal Carbon Fund Limited,"2,000",KACCU
10/03/2021,South Pole Australia Financial Services Pty Ltd,2,KACCU
09/03/2021,South Pole Australia Financial Services Pty Ltd,73,KACCU
05/03/2021,South Pole Australia Financial Services Pty Ltd,495,KACCU
05/03/2021,Corporate Carbon Advisory Pty Ltd,"1,950",KACCU
05/03/2021,Corporate Carbon Advisory Pty Ltd,"2,625",KACCU
05/03/2021,Corporate Carbon Advisory Pty Ltd,"5,000",KACCU
04/03/2021,Enviro-Mark Solutions Limited,140,CER
03/03/2021,CARBON NEUTRAL PTY LTD,293,CER
03/03/2021,CARBON NEUTRAL PTY LTD,150,CER
03/03/2021,CARBON NEUTRAL PTY LTD,"2,000",CER
03/03/2021,CARBON NEUTRAL PTY LTD,366,CER
03/03/2021,CARBON NEUTRAL PTY LTD,199,CER
03/03/2021,CARBON NEUTRAL PTY LTD,199,CER
03/03/2021,CARBON NEUTRAL PTY LTD,199,CER
03/03/2021,CARBON NEUTRAL PTY LTD,597,CER
03/03/2021,CARBON NEUTRAL PTY LTD,300,CER
02/03/2021,South Pole Australia Financial Services Pty Ltd,"7,000",KACCU
02/03/2021,WeAct Pty Ltd,"128,591",CER
02/03/2021,Clean Energy Finance Corporation,975,KACCU
01/03/2021,Carbon Financial Services Pty. Ltd.,720,KACCU
01/03/2021,Tasman Environmental Markets Pty Ltd,146,CER
25/02/2021,Tasman Environmental Markets Pty Ltd,119,KACCU
25/02/2021,Tasman Environmental Markets Pty Ltd,"1,605",KACCU
18/02/2021,EKI Energy Services Limited,"51,955",CER
15/02/2021,Aboriginal Carbon Fund Limited,80,KACCU
12/02/2021,Enviro-Mark Solutions Limited,479,CER
12/02/2021,Enviro-Mark Solutions Limited,188,CER
12/02/2021,Enviro-Mark Solutions Limited,48,CER
11/02/2021,South Pole Australia Financial Services Pty Ltd,"1,001",KACCU
11/02/2021,Tasman Environmental Markets Pty Ltd,100,KACCU
10/02/2021,Aboriginal Carbon Fund Limited,25,KACCU
08/02/2021,CARBON NEUTRAL PTY LTD,24,CER
08/02/2021,CARBON NEUTRAL PTY LTD,99,CER
08/02/2021,CARBON NEUTRAL PTY LTD,27,CER
08/02/2021,CARBON NEUTRAL PTY LTD,35,CER
08/02/2021,CARBON NEUTRAL PTY LTD,94,CER
04/02/2021,Aboriginal Carbon Fund Limited,51,KACCU
04/02/2021,Tasman Environmental Markets Pty Ltd,350,KACCU
04/02/2021,Tasman Environmental Markets Pty Ltd,"1,120",KACCU
04/02/2021,"Natural Capital Partners Americas, LLC",7,CER
04/02/2021,"Natural Capital Partners Americas, LLC","1,230",CER
04/02/2021,"Natural Capital Partners Americas, LLC",313,CER
04/02/2021,"Natural Capital Partners Americas, LLC",896,CER
04/02/2021,"Natural Capital Partners Americas, LLC","2,000",CER
04/02/2021,"Natural Capital Partners Americas, LLC","14,398",CER
04/02/2021,"Natural Capital Partners Americas, LLC","57,620",CER
04/02/2021,"Natural Capital Partners Americas, LLC","40,951",CER
04/02/2021,"Natural Capital Partners Americas, LLC","29,000",CER
04/02/2021,"Natural Capital Partners Americas, LLC",638,CER
04/02/2021,"Natural Capital Partners Americas, LLC",111,CER
04/02/2021,"Natural Capital Partners Americas, LLC","10,725",CER
04/02/2021,"Natural Capital Partners Americas, LLC",484,CER
04/02/2021,"Natural Capital Partners Americas, LLC","8,791",CER
04/02/2021,"Natural Capital Partners Americas, LLC","15,629",CER
04/02/2021,"Natural Capital Partners Americas, LLC","13,409",CER
04/02/2021,"Natural Capital Partners Americas, LLC",470,CER
04/02/2021,"Natural Capital Partners Americas, LLC","4,000",CER
04/02/2021,"Natural Capital Partners Americas, LLC","17,399",CER
04/02/2021,"Natural Capital Partners Americas, LLC","3,055",CER
04/02/2021,"Natural Capital Partners Americas, LLC",543,CER
04/02/2021,"Natural Capital Partners Americas, LLC","3,914",CER
04/02/2021,"Natural Capital Partners Americas, LLC","4,071",CER
04/02/2021,"Natural Capital Partners Americas, LLC","2,632",CER
04/02/2021,"Natural Capital Partners Americas, LLC","1,350",CER
04/02/2021,"Natural Capital Partners Americas, LLC",200,CER
04/02/2021,"Natural Capital Partners Americas, LLC","5,351",CER
04/02/2021,"Natural Capital Partners Americas, LLC","192,000",CER
03/02/2021,Tasman Environmental Markets Pty Ltd,"9,572",KACCU
03/02/2021,Tasman Environmental Markets Pty Ltd,"4,524",KACCU
03/02/2021,Tasman Environmental Markets Pty Ltd,"33,552",CER
03/02/2021,South Pole Australia Financial Services Pty Ltd,30,KACCU
30/01/2021,CARBON NEUTRAL PTY LTD,151,CER
30/01/2021,CARBON NEUTRAL PTY LTD,35,CER
29/01/2021,CARBON NEUTRAL PTY LTD,35,CER
27/01/2021,Thomas Winklehner,"157,117",CER
25/01/2021,Aboriginal Carbon Fund Limited,16,KACCU
22/01/2021,QANTAS Airways Ltd,577,KACCU
22/01/2021,QANTAS Airways Ltd,407,KACCU
22/01/2021,QANTAS Airways Ltd,707,KACCU
22/01/2021,QANTAS Airways Ltd,911,KACCU
22/01/2021,QANTAS Airways Ltd,"20,453",KACCU
22/01/2021,QANTAS Airways Ltd,"20,453",KACCU
22/01/2021,QANTAS Airways Ltd,"12,471",KACCU
22/01/2021,QANTAS Airways Ltd,"12,471",KACCU
22/01/2021,WeAct Pty Ltd,"216,382",CER
22/01/2021,WeAct Pty Ltd,"23,864",CER
21/01/2021,QANTAS Airways Ltd,948,KACCU
21/01/2021,QANTAS Airways Ltd,"13,710",KACCU
20/01/2021,CARBON NEUTRAL PTY LTD,572,CER
18/01/2021,CARBON NEUTRAL PTY LTD,27,CER
18/01/2021,CARBON NEUTRAL PTY LTD,270,CER
18/01/2021,CARBON NEUTRAL PTY LTD,70,CER
15/01/2021,CARBON NEUTRAL PTY LTD,36,CER
15/01/2021,CARBON NEUTRAL PTY LTD,38,CER
15/01/2021,CARBON NEUTRAL PTY LTD,565,CER
15/01/2021,Terra Carbon Pty Ltd,"1,000",KACCU
14/01/2021,Aboriginal Carbon Fund Limited,165,KACCU
14/01/2021,Virgin Australia Airlines Pty Ltd,"13,839",KACCU
12/01/2021,"Natural Capital Partners Americas, LLC","30,000",CER
11/01/2021,"Natural Capital Partners Americas, LLC","3,000",CER
11/01/2021,"Natural Capital Partners Americas, LLC",89,CER
11/01/2021,"Natural Capital Partners Americas, LLC","142,000",CER
11/01/2021,"Natural Capital Partners Americas, LLC","2,837",CER
11/01/2021,"Natural Capital Partners Americas, LLC",46,CER
11/01/2021,"Natural Capital Partners Americas, LLC",52,CER
11/01/2021,"Natural Capital Partners Americas, LLC",170,CER
11/01/2021,"Natural Capital Partners Americas, LLC",332,CER
11/01/2021,"Natural Capital Partners Americas, LLC","39,395",CER
11/01/2021,"Natural Capital Partners Americas, LLC","7,500",CER
11/01/2021,"Natural Capital Partners Americas, LLC",10,CER
11/01/2021,"Natural Capital Partners Americas, LLC","7,250",CER
11/01/2021,"Natural Capital Partners Americas, LLC",44,CER
11/01/2021,"Natural Capital Partners Americas, LLC",177,CER
11/01/2021,"Natural Capital Partners Americas, LLC","1,877",CER
11/01/2021,"Natural Capital Partners Americas, LLC","20,000",CER
11/01/2021,"Natural Capital Partners Americas, LLC","27,875",CER
11/01/2021,"Natural Capital Partners Americas, LLC","7,800",CER
11/01/2021,"Natural Capital Partners Americas, LLC","1,470",CER
11/01/2021,"Natural Capital Partners Americas, LLC",114,CER
11/01/2021,"Natural Capital Partners Americas, LLC",20,CER
11/01/2021,"Natural Capital Partners Americas, LLC","26,514",CER
11/01/2021,"Natural Capital Partners Americas, LLC",330,CER
10/01/2021,"Natural Capital Partners Americas, LLC","1,046",CER
10/01/2021,"Natural Capital Partners Americas, LLC",335,CER
10/01/2021,"Natural Capital Partners Americas, LLC",683,CER
08/01/2021,Aboriginal Carbon Fund Limited,"1,800",KACCU
08/01/2021,Enviro-Mark Solutions Limited,19,CER
08/01/2021,Enviro-Mark Solutions Limited,"1,803",CER
07/01/2021,"Natural Capital Partners Americas, LLC","1,000",CER
07/01/2021,"Natural Capital Partners Americas, LLC","4,096",CER
07/01/2021,"Natural Capital Partners Americas, LLC","1,350",CER
07/01/2021,"Natural Capital Partners Americas, LLC",35,CER
07/01/2021,"Natural Capital Partners Americas, LLC",59,KACCU
07/01/2021,"Natural Capital Partners Americas, LLC","35,924",CER
06/01/2021,Tasman Environmental Markets Pty Ltd,280,KACCU
06/01/2021,Tasman Environmental Markets Pty Ltd,600,KACCU
05/01/2021,LMS Energy Pty Ltd,"17,150",KACCU
30/12/2020,South Australian Water Corporation,"65,662",KACCU
29/12/2020,Jarden Australia Pty Ltd,"10,000",KACCU
23/12/2020,Aboriginal Carbon Fund Limited,20,KACCU
23/12/2020,Tasman Environmental Markets Pty Ltd,"19,407",CER
23/12/2020,Tasman Environmental Markets Pty Ltd,"5,540",KACCU
23/12/2020,Tasman Environmental Markets Pty Ltd,"8,300",KACCU
23/12/2020,South Pole Australia Financial Services Pty Ltd,8,KACCU
23/12/2020,Tasman Environmental Markets Pty Ltd,"1,960",KACCU
23/12/2020,Tasman Environmental Markets Pty Ltd,"42,600",CER
22/12/2020,Aboriginal Carbon Fund Limited,100,KACCU
21/12/2020,The Sigma Global Company Pty Limited,310,KACCU
18/12/2020,The Sigma Global Company Pty Limited,"7,043",KACCU
18/12/2020,The Sigma Global Company Pty Limited,"8,700",CER
18/12/2020,Carbon Financial Services Pty. Ltd.,"2,000",KACCU
16/12/2020,EKI Energy Services Limited,"2,750",CER
16/12/2020,Terra Carbon Pty Ltd,"3,000",KACCU
16/12/2020,Climate Friendly Financial Solutions Pty Limited,1,KACCU
15/12/2020,Virgin Australia Airlines Pty Ltd,"12,439",CER
15/12/2020,Virgin Australia Airlines Pty Ltd,"3,113",KACCU
15/12/2020,Virgin Australia Airlines Pty Ltd,"1,555",KACCU
15/12/2020,Aboriginal Carbon Fund Limited,55,KACCU
15/12/2020,Aboriginal Carbon Fund Limited,69,KACCU
15/12/2020,Tasman Environmental Markets Pty Ltd,"9,083",KACCU
14/12/2020,WeAct Pty Ltd,"1,184",CER
14/12/2020,WeAct Pty Ltd,"111,000",CER
14/12/2020,WeAct Pty Ltd,"1,136",CER
14/12/2020,WeAct Pty Ltd,"25,000",CER
14/12/2020,WeAct Pty Ltd,"19,870",CER
14/12/2020,WeAct Pty Ltd,"41,810",CER
14/12/2020,South Pole Australia Financial Services Pty Ltd,109,KACCU
10/12/2020,CARBON NEUTRAL PTY LTD,35,CER
10/12/2020,CARBON NEUTRAL PTY LTD,75,CER
10/12/2020,CARBON NEUTRAL PTY LTD,150,CER
10/12/2020,CARBON NEUTRAL PTY LTD,335,CER
10/12/2020,CARBON NEUTRAL PTY LTD,30,CER
10/12/2020,CARBON NEUTRAL PTY LTD,144,CER
10/12/2020,CARBON NEUTRAL PTY LTD,100,CER
10/12/2020,CARBON NEUTRAL PTY LTD,103,CER
10/12/2020,Tasman Environmental Markets Pty Ltd,"1,980",KACCU
10/12/2020,EKI Energy Services Limited,686,CER
10/12/2020,EKI Energy Services Limited,67,CER
10/12/2020,Aboriginal Carbon Fund Limited,20,KACCU
10/12/2020,Aboriginal Carbon Fund Limited,80,KACCU
09/12/2020,EKI Energy Services Limited,215,KACCU
09/12/2020,AGL Energy Services Pty Limited,7,KACCU
05/12/2020,"Natural Capital Partners Americas, LLC",140,CER
05/12/2020,"Natural Capital Partners Americas, LLC",90,CER
04/12/2020,EKI Energy Services Limited,"295,651",CER
04/12/2020,South Pole Australia Financial Services Pty Ltd,174,KACCU
04/12/2020,CARBON NEUTRAL PTY LTD,232,CER
04/12/2020,CARBON NEUTRAL PTY LTD,27,CER
04/12/2020,Carbon Financial Services Pty. Ltd.,"13,125",KACCU
04/12/2020,Enviro-Mark Solutions Limited,231,CER
02/12/2020,Tasman Environmental Markets Pty Ltd,"30,417",CER
01/12/2020,CARBON NEUTRAL PTY LTD,60,CER
01/12/2020,CARBON NEUTRAL PTY LTD,569,CER
01/12/2020,South Pole Australia Financial Services Pty Ltd,"1,000",KACCU
01/12/2020,Corporate Carbon Advisory Pty Ltd,6,KACCU
30/11/2020,Aboriginal Carbon Fund Limited,150,KACCU
30/11/2020,Origin Energy Electricity Ltd,"1,268",KACCU
30/11/2020,Origin Energy Electricity Ltd,"15,690",KACCU
30/11/2020,AGL HP1 Pty Limited,"53,786",KACCU
27/11/2020,CARBON NEUTRAL PTY LTD,300,CER
27/11/2020,CARBON NEUTRAL PTY LTD,105,CER
27/11/2020,CARBON NEUTRAL PTY LTD,27,CER
27/11/2020,CARBON NEUTRAL PTY LTD,"2,000",CER
27/11/2020,EKI Energy Services Limited,100,CER
27/11/2020,Aboriginal Carbon Fund Limited,314,KACCU
24/11/2020,CARBON NEUTRAL PTY LTD,25,CER
24/11/2020,CARBON NEUTRAL PTY LTD,35,CER
23/11/2020,CARBON NEUTRAL PTY LTD,56,CER
23/11/2020,CARBON NEUTRAL PTY LTD,27,CER
23/11/2020,CARBON NEUTRAL PTY LTD,400,CER
19/11/2020,Aboriginal Carbon Fund Limited,262,KACCU
19/11/2020,Tasman Environmental Markets Pty Ltd,"1,573",KACCU
19/11/2020,Tasman Environmental Markets Pty Ltd,220,KACCU
19/11/2020,"Natural Capital Partners Americas, LLC",43,CER
18/11/2020,South Pole Australia Financial Services Pty Ltd,"5,489",KACCU
12/11/2020,Aboriginal Carbon Fund Limited,10,KACCU
12/11/2020,Aboriginal Carbon Fund Limited,250,KACCU
11/11/2020,CARBON NEUTRAL PTY LTD,35,CER
11/11/2020,CARBON NEUTRAL PTY LTD,54,CER
11/11/2020,CARBON NEUTRAL PTY LTD,27,CER
11/11/2020,Corporate Carbon Advisory Pty Ltd,15,KACCU
09/11/2020,CARBON NEUTRAL PTY LTD,483,CER
09/11/2020,CARBON NEUTRAL PTY LTD,40,CER
09/11/2020,CARBON NEUTRAL PTY LTD,66,CER
06/11/2020,Aboriginal Carbon Fund Limited,600,KACCU
06/11/2020,Tasman Environmental Markets Pty Ltd,400,KACCU
05/11/2020,CARBON NEUTRAL PTY LTD,41,CER
05/11/2020,CARBON NEUTRAL PTY LTD,35,CER
05/11/2020,CARBON NEUTRAL PTY LTD,508,CER
05/11/2020,CARBON NEUTRAL PTY LTD,720,CER
05/11/2020,CARBON NEUTRAL PTY LTD,283,CER
05/11/2020,Tasman Environmental Markets Pty Ltd,"4,679",KACCU
05/11/2020,Tasman Environmental Markets Pty Ltd,111,KACCU
05/11/2020,Aboriginal Carbon Fund Limited,74,KACCU
05/11/2020,Aboriginal Carbon Fund Limited,104,KACCU
05/11/2020,Aboriginal Carbon Fund Limited,195,KACCU
05/11/2020,Aboriginal Carbon Fund Limited,244,KACCU
05/11/2020,Aboriginal Carbon Fund Limited,36,KACCU
04/11/2020,CARBON NEUTRAL PTY LTD,99,CER
02/11/2020,WeAct Pty Ltd,"10,000",CER
02/11/2020,WeAct Pty Ltd,1,CER
02/11/2020,Tasman Environmental Markets Pty Ltd,396,KACCU
30/10/2020,Enviro-Mark Solutions Limited,"1,498",CER
30/10/2020,Enviro-Mark Solutions Limited,89,CER
30/10/2020,Enviro-Mark Solutions Limited,3,CER
30/10/2020,Enviro-Mark Solutions Limited,50,CER
30/10/2020,Enviro-Mark Solutions Limited,18,CER
30/10/2020,Enviro-Mark Solutions Limited,91,CER
30/10/2020,Enviro-Mark Solutions Limited,10,CER
30/10/2020,Enviro-Mark Solutions Limited,50,CER
30/10/2020,Enviro-Mark Solutions Limited,29,CER
30/10/2020,Enviro-Mark Solutions Limited,42,CER
30/10/2020,Enviro-Mark Solutions Limited,102,CER
30/10/2020,Enviro-Mark Solutions Limited,253,CER
30/10/2020,Enviro-Mark Solutions Limited,860,CER
29/10/2020,EKI Energy Services Limited,360,CER
29/10/2020,EKI Energy Services Limited,"503,332",CER
29/10/2020,CARBON NEUTRAL PTY LTD,9,CER
29/10/2020,CARBON NEUTRAL PTY LTD,32,CER
29/10/2020,CARBON NEUTRAL PTY LTD,45,CER
29/10/2020,CARBON NEUTRAL PTY LTD,10,CER
28/10/2020,CARBON NEUTRAL PTY LTD,230,CER
28/10/2020,Aboriginal Carbon Fund Limited,"3,850",KACCU
28/10/2020,Terra Carbon Pty Ltd,"1,000",KACCU
28/10/2020,Brisbane City Council,"48,482",KACCU
27/10/2020,"Natural Capital Partners Americas, LLC","8,790",CER
27/10/2020,Aboriginal Carbon Fund Limited,43,KACCU
26/10/2020,Carbon Financial Services Pty. Ltd.,"12,982",KACCU
23/10/2020,Tasman Environmental Markets Pty Ltd,392,KACCU
22/10/2020,EKI Energy Services Limited,"5,036",CER
22/10/2020,Origin Energy Electricity Ltd,"67,662",CER
21/10/2020,Tasman Environmental Markets Pty Ltd,481,KACCU
20/10/2020,CARBON NEUTRAL PTY LTD,"3,519",CER
20/10/2020,CARBON NEUTRAL PTY LTD,22,CER
20/10/2020,EKI Energy Services Limited,"90,000",CER
20/10/2020,EKI Energy Services Limited,88,CER
16/10/2020,EKI Energy Services Limited,"7,220",CER
16/10/2020,CARBON NEUTRAL PTY LTD,234,CER
16/10/2020,CARBON NEUTRAL PTY LTD,36,CER
16/10/2020,CARBON NEUTRAL PTY LTD,36,CER
15/10/2020,CARBON NEUTRAL PTY LTD,100,CER
15/10/2020,CARBON NEUTRAL PTY LTD,27,CER
15/10/2020,CARBON NEUTRAL PTY LTD,10,CER
