Company Name,Cohort,ASRS Tier,Sector,NGER Scope 1 (tCO2e),NGER Scope 2 (tCO2e),Priority
Snacking Investments Holdco Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),28785.0,44081.0,30.80293331046785
Sydney Trains,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),28774.0,542036.0,30.80178670077025
Australian Meat Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),28177.0,21987.0,30.738890431839664
Nestle Australia Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),28096.0,76312.0,30.730254264169737
Lion Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),27077.0,28540.0,30.619430607165167
Covalent Lithium Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),26808.0,40046.0,30.58947879305776
Essential Energy,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),26757.0,460234.0,30.58376631910069
Queensland Electricity Transmission Corporation Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),26291.0,888240.0,30.5310599681504
Mondelez Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),25969.11,43408.68,30.49410462091305
Cki Utilities Development Limited & Others,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),25463.0,157528.0,30.435062906885783
Victoria Power Networks Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),25315.0,791644.0,30.41757565768559
Ss Silver Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),24734.0,100019.0,30.347923570985426
Rci Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),24654.0,59878.0,30.338204995974678
Associated Kiln Driers Pty. Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),23499.0,50239.0,30.19426710039675
Barto Industry Co Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),23276.0,27873.0,30.165663082686176
Mars Wrigley Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),23079.0,54841.0,30.140165161866108
Northern Seq Distributor - Retailer Authority,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),22501.0,55727.0,30.064078419393052
Nsw Electricity Networks Operations Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),21126.0,1364556.0,29.874921366900708
Ccep Holdings (Australia) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),20242.0,69373.0,29.74669300128473
Iwatani Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),20004.0,31403.0,29.711212563874007
Aapc Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),19218.0,133935.0,29.590963956103217
