asx_code,name,market_cap_aud,scope1_t,scope2_t,s12_t,revenue_aud,cost_paid_aud,cost_paid_pct_mcap,cost_paid_pct_rev,cost_ngfs_nz30_aud,cost_ngfs_nz30_pct_mcap,cost_ngfs_nz30_pct_rev,cost_epa_scc_aud,cost_epa_scc_pct_mcap,cost_epa_scc_pct_rev,cost_bilal_aud,cost_bilal_pct_mcap,cost_bilal_pct_rev,unpriced_gap_aud
EDV,Endeavour Group Ltd,5330000000.0,73548.0,283010.0,356558.0,12600000000.0,11605962.900000002,0.2177478968105066,0.09211081666666669,71846437.0,1.3479631707317072,0.5702098174603175,105006331.0,1.9701000187617261,0.8333835793650793,583614134.4,10.94960852532833,4.631858209523809,93400368.1
RRL,Regis Resources Ltd,3300000000.0,190620.0,52.0,190672.0,,6206373.600000001,0.18807192727272729,,38420408.0,1.164254787878788,,56152904.0,1.7016031515151515,,312091929.59999996,9.457331199999999,,49946530.4
COL,Coles Group Ltd,23000000000.0,256791.0,1041747.0,1298538.0,42500000000.0,42267411.900000006,0.18377135608695655,0.09945273388235296,261655407.0,1.1376322043478262,0.6156597811764706,382419441.0,1.6626932217391304,0.8998104494117647,2125446998.3999999,9.241073906086957,5.001051760941176,340152029.1
ORA,Orora Ltd,3900000000.0,147960.03,72187.06,220147.09,,7165787.779500001,0.18373814819230774,,44359638.635,1.1374266316666666,,64833318.005,1.6623927693589744,,360336756.912,9.239404023384614,,57667530.2255
MIN,Mineral Resources Ltd,13000000000.0,710265.0,15946.0,726211.0,5300000000.0,23638168.050000004,0.18183206192307697,0.44600317075471707,146331516.5,1.12562705,2.7609720094339623,213869139.5,1.645147226923077,4.0352667830188675,1188662164.8,9.143555113846153,22.42758801509434,190230971.45
EVN,Evolution Mining Ltd,15000000000.0,202345.0,616462.0,818807.0,,26652167.850000005,0.17768111900000003,,164989610.5,1.0999307366666666,,241138661.5,1.6075910766666666,,1340223297.6,8.934821984,,214486493.65
FMG,Fortescue Ltd,67000000000.0,2255843.0,806331.0,3062174.0,18300000000.0,99673763.70000002,0.14876681149253734,0.5446653754098362,617028061.0,0.920937404477612,3.371738038251366,901810243.0,1.3459854373134328,4.927924825136612,5012166403.2,7.480845377910447,27.388887449180327,802136479.3
NST,Northern Star Resources Ltd,25000000000.0,799233.0,305922.0,1105155.0,5200000000.0,35972795.25000001,0.14389118100000003,0.6917845240384617,222688732.5,0.89075493,4.282475625,325468147.5,1.30187259,6.259002836538461,1808917704.0,7.235670816,34.78687892307692,289495352.25
QUB,QUBE Holdings Ltd,10000000000.0,414854.0,22218.0,437072.0,,14226693.600000001,0.142266936,,88070008.0,0.88070008,,128717704.0,1.28717704,,715399449.6,7.153994496,,114491010.4
TPG,TPG Telecom Ltd,5700000000.0,3022.0,221305.0,224327.0,5400000000.0,7301843.850000001,0.12810252368421052,0.13521933055555554,45201890.5,0.7930156228070175,0.8370720462962963,66064301.5,1.1590228333333332,1.2234129907407407,367178433.59999996,6.441726905263158,6.799600622222222,58762457.65
NXT,NEXTDC Ltd,9600000000.0,7919.0,358353.0,366272.0,400000000.0,11922153.600000001,0.12418910000000002,2.980538400000001,73803808.0,0.7687896666666667,18.450952,107867104.0,1.1236156666666666,26.966776,599514009.6,6.2449376,149.8785024,95944950.4
WOW,Woolworths Group Ltd,42000000000.0,359077.0,1231627.0,1590704.0,68000000000.0,51777415.20000001,0.12327956000000002,0.07614325764705884,320526856.0,0.763159180952381,0.4713630235294118,468462328.0,1.1153864952380952,0.6889151882352941,2603664307.2,6.19920073142857,3.828918098823529,416684912.8
DOW,Downer Edi Ltd,5300000000.0,170883.0,29572.0,200455.0,12000000000.0,6524810.250000001,0.12310962735849058,0.05437341875000001,40391682.5,0.762107216981132,0.33659735416666664,59033997.5,1.1138490094339624,0.49194997916666666,328104744.0,6.190655547169811,2.7342062,52509187.25
BKW,Brickworks Ltd,5200000000.0,143117.0,42572.92,185689.91999999998,,6044206.896000001,0.116234748,,37416518.879999995,0.71954844,,54685681.44,1.05164772,,303937261.056,5.844947328,,48641474.544
ALK,Alkane Resources Ltd,1900000000.0,11678.0,52689.0,64367.0,,2095145.8500000003,0.11027083421052633,,12969950.5,0.6826289736842105,,18956081.5,0.9976885,,105355905.6,5.545047663157895,,16860935.65
MTS,Metcash Ltd,3300000000.0,35786.0,67819.0,103605.0,18900000000.0,3372342.7500000005,0.10219220454545457,0.017843083333333336,20876407.5,0.632618409090909,0.11045718253968254,30511672.5,0.9245961363636364,0.16143742063492064,169580664.0,5.138808,0.8972521904761904,27139329.75
GMD,Genesis Minerals Ltd,5950000000.0,174709.0,1486.0,176195.0,,5735147.250000001,0.09638902941176472,,35503292.5,0.5966939915966386,,51889427.5,0.8720912184873949,,288395976.0,4.846991193277311,,46154280.25
RMS,Ramelius Resources Ltd,5560000000.0,102416.0,19668.0,122084.0,,3973834.2000000007,0.07147183812949641,,24599926.0,0.4424447122302158,,35953738.0,0.646649964028777,,199827091.2,3.594012431654676,,31979903.8
BHP,BHP Group Ltd,216000000000.0,3379337.0,1327099.0,4706436.0,85800000000.0,153194491.8,0.07092337583333334,0.17854835874125877,948346854.0,0.43904946944444445,1.1052993636363637,1386045402.0,0.6416876861111112,1.6154375314685314,7703494444.8,3.5664326133333333,8.978431753846154,1232850910.2
PLS,PLS Group Ltd,7800000000.0,167449.0,114.0,167563.0,,5454175.65,0.06992532884615385,,33763944.5,0.43287108333333335,,49347303.5,0.6326577371794871,,274267118.4,3.516245107692307,,43893127.85
CMM,Capricorn Metals Ltd,5580000000.0,109583.0,13.0,109596.0,,3567349.8000000003,0.063931,,22083594.0,0.39576333333333336,,32276022.0,0.5784233333333333,,179386732.79999998,3.214816,,28708672.2
