Company Name,Symbol,Market
Kinergy Advancement Berhad,0193,ACE Market
KIP Real Estate Investment Trust,5280,Main Market
Kjts Group Berhad,0293,ACE Market
KKB Engineering Berhad,9466,Main Market
KLCC Property Holdings Berhad,5235SS,Main Market
KLCC Real Estate Investment Trust,5235SS,Main Market
Kluang Rubber Company (Malaya) Berhad,2453,Main Market
KNM Group Berhad,7164,Main Market
Knusford Berhad,5035,Main Market
Kobay Technology Berhad,6971,Main Market
Komarkcorp Berhad,7017,Main Market
K-one Technology Berhad,0111,ACE Market
Kossan Rubber Industries Berhad,7153,Main Market
Kotra Industries Berhad,0002,ACE Market
KPJ Healthcare Berhad,5878,Main Market
KPS Consortium Berhad,9121,Main Market
Kretam Holdings Berhad,1996,Main Market
Kronologi Asia Berhad,0176,ACE Market
KSL Holdings Berhad,5038,Main Market
KTI Landmark Berhad,0308,ACE Market
Kuala Lumpur Kepong Berhad,2445,Main Market
KUB Malaysia Berhad,6874,Main Market
Kuchai Development Berhad,2186,Main Market
Kucingko Berhad,0315,ACE Market
Kumpulan Fima Berhad,6491,Main Market
Kumpulan H & L High-tech Berhad,7033,Main Market
Kumpulan Jetson Berhad,9083,Main Market
Kumpulan Kitacon Berhad,5310,Main Market
Kumpulan Perangsang Selangor Berhad,5843,Main Market
KYM Holdings Berhad,8362,Main Market
L&p Global Berhad,0268,ACE Market
Lagenda Properties Berhad,7179,Main Market
Lambo Group Berhad,0018,ACE Market
Land & General Berhad,3174,Main Market
Landmarks Berhad,1643,Main Market
LAY Hong Berhad,9385,Main Market
LB Aluminium Berhad,9326,Main Market
LBI Capital Berhad,8494,Main Market
LBS Bina Group Berhad,5789,Main Market
Leader Steel Holdings Berhad,9881,Main Market
Lebtech Berhad,9628,Main Market
LEE Swee Kiat Group Berhad,8079,Main Market
Leform Berhad,0266,ACE Market
Leon Fuat Berhad,5232,Main Market
Leong HUP International Berhad,6633,Main Market
LFE Corporation Berhad,7170,Main Market
Lgms Berhad,0249,ACE Market
Lien HOE Corporation Berhad,3573,Main Market
LII HEN Industries Bhd.,7089,Main Market
LIM Seong HAI Capital Berhad,03047,LEAP Market
Lion Industries Corporation Berhad,4235,Main Market
Lion Posim Berhad,8486,Main Market
LKL International Berhad,0182,ACE Market
Lotte Chemical Titan Holding Berhad,5284,Main Market
Lotus KFM Berhad,8303,Main Market
LPI Capital Bhd,8621,Main Market
Ltkm Berhad,7085,Main Market
Luster Industries Bhd.,5068,Main Market
Luxchem Corporation Berhad,5143,Main Market
LYC Healthcare Berhad,0075,ACE Market
Lysaght Galvanized Steel Berhad,9199,Main Market
M & A Equity Holdings Berhad,7082,Main Market
M N C Wireless Berhad,0103,ACE Market
MAA Group Berhad,1198,Main Market
MAG Holdings Berhad,0095,ACE Market
Magma Group Berhad,7243,Main Market
Magna Prima Berhad,7617,Main Market
Magni-tech Industries Berhad,7087,Main Market
Magnum Berhad,3859,Main Market
MAH Sing Group Berhad,8583,Main Market
Majuperak Holdings Berhad,8141,Main Market
Malakoff Corporation Berhad,5264,Main Market
Malayan Banking Berhad,1155,Main Market
Malayan Cement Berhad,3794,Main Market
Malayan Flour Mills Berhad,3662,Main Market
Malayan United Industries Berhad,3891,Main Market
Malaysia Airports Holdings Berhad,5014,Main Market
